order_id,customer_id,order_date,total_price
137,396,'2021-05-02 12:04:17',35000
138,787,'2020-08-11 04:33:22',55000
139,571,'2022-07-02 09:10:21',15000
140,189,'2020-03-28 06:24:26',95000
141,592,'2021-07-20 02:15:06',15000
142,538,'2022-06-17 00:27:39',75000
143,232,'2021-05-22 18:12:05',25000
144,762,'2021-07-31 05:04:13',25000
145,859,'2023-09-03 04:53:10',25000
146,124,'2020-10-14 16:34:48',15000
147,828,'2023-06-27 08:44:19',85000
148,179,'2022-04-02 15:00:30',75000
149,166,'2023-05-26 13:14:40',85000
150,488,'2022-10-05 20:19:34',35000
151,645,'2023-05-30 08:41:09',15000
152,88,'2021-03-10 18:13:22',5000
153,906,'2023-03-15 05:28:13',95000
154,107,'2020-02-18 05:53:38',65000
155,62,'2021-11-19 06:25:16',25000
156,758,'2021-04-02 06:27:46',35000
157,105,'2022-03-23 19:11:39',5000
158,496,'2022-05-13 16:50:07',35000
159,334,'2021-08-26 11:56:46',75000
160,847,'2020-09-02 20:50:14',95000
161,683,'2021-02-26 18:49:42',35000
162,538,'2021-06-28 15:33:48',65000
163,901,'2021-02-27 18:40:20',65000
164,56,'2021-01-14 09:27:10',115000
165,347,'2020-08-05 06:40:34',45000
166,76,'2022-05-26 08:21:38',115000
167,321,'2023-12-21 00:33:43',15000
168,661,'2023-02-03 23:36:34',95000
169,9,'2023-07-17 04:49:47',45000
170,472,'2020-03-04 18:35:09',115000
171,606,'2023-02-19 14:32:18',45000
172,131,'2023-11-23 07:19:06',85000
173,466,'2022-05-07 07:37:52',35000
174,299,'2022-06-01 05:54:32',5000
175,569,'2020-07-24 16:37:51',75000
176,360,'2023-01-05 14:16:19',115000
177,370,'2020-05-13 03:06:56',65000
178,978,'2021-08-21 13:07:04',55000
179,69,'2022-03-05 05:55:19',85000
180,27,'2022-04-01 21:49:16',105000
181,852,'2020-04-06 02:42:44',75000
182,898,'2021-01-01 11:00:27',5000
183,560,'2021-03-31 19:19:00',65000
184,270,'2020-08-28 08:04:01',45000
185,766,'2020-10-07 02:14:30',55000
186,926,'2022-09-12 09:54:32',25000
187,910,'2023-03-08 03:11:44',25000
188,996,'2021-04-03 18:56:06',5000
189,918,'2020-04-07 03:31:25',35000
190,581,'2020-01-02 18:39:48',25000
191,961,'2023-07-08 19:38:29',115000
192,78,'2020-01-18 14:17:38',105000
193,323,'2021-12-04 23:39:56',45000
194,647,'2023-11-21 18:26:50',45000
195,529,'2021-02-24 22:40:29',45000
196,521,'2021-04-21 20:54:49',35000
197,269,'2021-08-26 17:00:20',115000
198,949,'2021-06-14 05:56:11',65000
199,154,'2020-05-10 01:40:33',15000
200,141,'2021-05-23 12:07:50',35000
201,116,'2023-03-27 11:11:21',75000
202,260,'2022-07-31 14:17:51',105000
203,542,'2021-08-04 08:39:47',35000
204,582,'2023-01-07 04:27:50',95000
205,514,'2020-08-05 14:12:45',115000
206,801,'2023-04-25 13:20:02',105000
207,485,'2020-04-07 06:57:07',35000
208,412,'2020-02-18 16:17:29',55000
209,802,'2021-11-04 14:20:21',65000
210,293,'2020-09-18 15:14:35',105000
211,352,'2023-05-22 04:42:56',105000
212,841,'2022-06-24 07:44:53',75000
213,440,'2020-09-07 13:44:12',75000
214,282,'2022-11-24 05:28:23',15000
215,284,'2023-10-02 10:46:17',75000
216,523,'2023-03-27 00:01:35',5000
217,799,'2022-06-25 07:06:34',75000
218,50,'2021-03-23 03:51:52',35000
219,959,'2020-03-16 00:12:44',85000
220,975,'2023-11-27 04:19:14',95000
221,990,'2020-05-23 13:07:51',45000
222,420,'2022-03-01 19:55:08',85000
223,903,'2023-11-10 07:30:27',115000
224,503,'2020-05-23 21:36:07',5000
225,921,'2021-05-31 13:35:36',65000
226,430,'2022-08-15 05:25:18',115000
227,673,'2020-11-30 14:36:13',35000
228,852,'2021-09-12 10:32:04',55000
229,445,'2021-11-12 20:36:06',65000
230,153,'2021-06-21 14:16:19',115000
231,410,'2021-12-16 08:36:17',65000
232,191,'2021-08-12 06:28:02',115000
233,835,'2020-03-17 08:31:51',15000
234,632,'2022-02-15 06:04:29',115000
235,103,'2020-05-12 05:26:29',45000
236,691,'2023-10-10 04:29:24',95000
237,160,'2020-06-13 19:24:03',115000
238,1000,'2021-05-23 07:59:31',65000
239,199,'2020-01-30 11:41:16',55000
240,534,'2023-06-07 14:55:47',105000
241,326,'2021-05-25 12:04:32',45000
242,757,'2023-12-29 08:18:46',55000
243,473,'2022-08-02 07:09:50',85000
244,129,'2023-01-30 08:04:04',55000
245,442,'2020-12-29 04:35:11',105000
246,920,'2020-01-03 02:34:10',55000
247,978,'2021-04-19 19:23:45',65000
248,583,'2020-10-14 14:46:26',35000
249,652,'2022-02-20 03:28:04',25000
250,63,'2021-06-05 02:06:05',115000
251,652,'2023-12-02 10:01:53',105000
252,672,'2022-02-11 15:16:26',45000
253,59,'2020-06-30 22:46:40',85000
254,337,'2020-07-13 12:43:36',65000
255,147,'2021-03-10 01:01:54',5000
256,486,'2021-04-26 15:52:45',5000
257,736,'2020-05-10 15:09:12',95000
258,157,'2022-09-08 21:59:58',35000
259,865,'2021-11-11 15:33:31',95000
260,31,'2021-10-10 15:30:10',15000
261,549,'2023-09-02 04:32:36',115000
262,490,'2021-02-02 03:40:08',75000
263,197,'2020-05-01 15:15:23',85000
264,229,'2020-06-29 19:01:09',5000
265,305,'2020-04-01 16:16:08',65000
266,395,'2020-11-03 11:45:21',35000
267,369,'2022-11-23 03:09:25',15000
268,29,'2020-02-25 14:00:56',75000
269,325,'2022-02-27 02:32:42',5000
270,74,'2022-02-04 04:33:46',65000
271,570,'2023-12-27 16:48:49',85000
272,648,'2022-11-29 16:28:57',25000
273,184,'2023-08-04 14:46:45',15000
274,579,'2020-06-25 11:58:29',75000
275,65,'2023-09-02 07:38:47',35000
276,342,'2022-07-04 14:29:38',95000
277,74,'2021-07-22 10:05:05',95000
278,237,'2021-02-18 13:35:15',105000
279,821,'2021-08-24 14:01:04',45000
280,231,'2023-10-24 06:10:36',15000
281,846,'2021-08-08 00:17:12',15000
282,964,'2022-12-16 15:43:22',65000
283,407,'2022-10-29 04:14:13',75000
284,220,'2022-07-26 00:57:24',75000
285,755,'2023-03-19 08:54:38',25000
286,553,'2023-02-05 12:30:15',35000
287,946,'2022-05-16 11:33:38',105000
288,808,'2020-08-09 08:56:00',25000
289,757,'2022-12-16 07:12:37',25000
290,945,'2021-11-29 13:26:55',25000
291,555,'2020-02-06 05:04:13',15000
292,32,'2023-09-04 17:23:55',15000
293,834,'2020-11-16 15:13:36',65000
294,23,'2022-06-02 07:51:10',55000
295,617,'2020-08-16 04:59:14',15000
296,588,'2023-05-23 05:13:42',75000
297,342,'2022-04-24 11:33:07',25000
298,714,'2023-10-05 11:25:09',5000
299,367,'2022-12-12 18:55:52',65000
300,904,'2022-08-06 07:41:42',115000
301,711,'2022-04-22 11:31:59',115000
302,102,'2021-05-29 10:14:16',115000
303,950,'2022-10-15 00:03:30',5000
304,669,'2020-09-08 23:35:00',55000
305,491,'2023-02-04 22:50:56',25000
306,496,'2022-04-20 08:19:09',95000
307,44,'2020-04-01 11:55:42',35000
308,897,'2023-06-19 23:03:38',15000
309,299,'2021-07-07 08:22:06',15000
310,546,'2021-07-07 07:42:27',5000
311,550,'2021-10-11 22:47:15',55000
312,569,'2022-10-08 12:47:51',55000
313,826,'2022-03-10 23:29:57',15000
314,301,'2020-05-06 08:04:47',75000
315,214,'2020-12-17 02:15:07',75000
316,503,'2021-08-10 06:30:26',115000
317,828,'2023-08-09 04:52:01',95000
318,966,'2020-07-08 07:57:36',85000
319,892,'2022-10-09 02:35:07',25000
320,400,'2020-02-14 06:33:03',95000
321,767,'2020-06-14 13:10:57',105000
322,270,'2021-09-21 17:38:11',25000
323,226,'2021-11-23 19:58:51',15000
324,299,'2021-06-25 23:34:58',105000
325,790,'2021-11-10 16:45:12',95000
326,983,'2021-08-20 18:07:12',5000
327,739,'2022-08-21 23:27:15',55000
328,975,'2022-09-30 02:02:27',55000
329,540,'2023-07-19 14:58:36',35000
330,178,'2022-01-19 12:35:24',105000
331,342,'2022-06-27 03:09:59',15000
332,216,'2020-12-15 08:03:00',75000
333,816,'2020-07-31 13:54:19',5000
334,357,'2020-06-19 03:24:04',65000
335,337,'2022-05-21 14:30:26',35000
336,424,'2021-01-23 23:02:18',65000
337,450,'2023-06-17 19:55:48',75000
338,654,'2020-06-29 12:44:47',95000
339,764,'2023-08-02 02:52:24',115000
340,977,'2022-12-21 07:10:26',35000
341,426,'2020-10-07 12:38:26',35000
342,716,'2021-04-01 10:50:35',85000
343,623,'2020-10-09 10:57:17',45000
344,248,'2022-11-01 02:07:35',95000
345,797,'2023-01-20 12:07:49',105000
346,228,'2023-03-01 22:14:10',85000
347,610,'2021-10-28 06:25:46',115000
348,578,'2023-01-05 08:19:22',115000
349,787,'2020-06-06 07:43:34',45000
350,856,'2023-08-18 18:43:50',45000
351,709,'2022-08-12 01:19:31',35000
352,697,'2020-07-31 10:31:04',5000
353,88,'2022-08-07 15:44:41',65000
354,746,'2023-12-10 00:21:00',75000
355,832,'2020-06-05 00:42:05',85000
356,358,'2022-02-27 14:42:33',35000
357,970,'2020-03-24 02:06:46',5000
358,252,'2023-06-07 11:48:18',65000
359,203,'2020-09-13 09:33:33',85000
360,110,'2021-01-29 08:55:24',115000
361,100,'2020-05-12 06:12:05',35000
362,497,'2020-09-02 21:37:45',105000
363,852,'2021-10-05 22:23:22',45000
364,76,'2022-10-21 13:43:42',55000
365,20,'2022-07-14 18:02:26',55000
366,544,'2021-09-01 19:09:09',105000
367,506,'2020-02-28 05:58:02',15000
368,152,'2020-03-07 08:21:39',15000
369,298,'2020-04-01 10:37:36',55000
370,107,'2023-06-08 19:17:33',45000
371,492,'2023-11-07 18:12:21',5000
372,400,'2021-12-08 09:41:03',65000
373,391,'2020-11-09 09:35:47',105000
374,720,'2020-04-27 03:23:34',55000
375,6,'2022-05-03 13:27:57',35000
376,432,'2021-06-29 05:47:40',5000
377,99,'2020-07-12 03:19:37',35000
378,673,'2021-10-16 21:14:33',105000
379,661,'2023-04-24 16:37:13',45000
380,873,'2021-11-03 21:34:04',55000
381,401,'2023-02-15 12:12:10',75000
382,920,'2021-02-08 02:51:05',75000
383,401,'2021-12-10 14:59:48',15000
384,426,'2023-10-31 17:10:19',65000
385,624,'2020-01-19 17:49:53',25000
386,281,'2021-02-19 13:40:56',95000
387,165,'2021-05-28 04:20:49',65000
388,674,'2022-10-07 18:41:34',75000
389,674,'2020-02-24 15:48:32',85000
390,252,'2021-03-24 12:23:25',55000
391,807,'2020-06-17 16:14:46',95000
392,412,'2023-08-27 10:17:36',55000
393,920,'2020-01-18 17:18:32',55000
394,87,'2022-11-27 06:55:11',65000
395,973,'2022-01-09 13:22:14',95000
396,391,'2022-12-14 04:58:12',95000
397,589,'2021-05-01 03:09:39',25000
398,336,'2022-05-09 13:40:10',115000
399,15,'2022-08-21 16:30:14',95000
400,324,'2020-08-25 06:19:47',75000
401,809,'2023-02-09 11:59:57',115000
402,504,'2020-12-08 04:46:26',5000
403,78,'2020-04-14 12:35:36',105000
404,410,'2021-03-06 11:59:39',25000
405,570,'2022-05-31 15:59:08',115000
406,35,'2022-05-14 12:08:23',45000
407,121,'2020-01-06 09:29:07',95000
408,623,'2022-03-27 07:35:41',15000
409,561,'2023-12-31 04:55:59',115000
410,297,'2022-04-28 10:40:50',15000
411,163,'2022-09-18 01:00:38',35000
412,913,'2022-11-19 03:33:30',45000
413,584,'2020-07-21 18:19:28',75000
414,108,'2021-03-26 18:10:56',35000
415,143,'2022-09-24 03:36:02',45000
416,281,'2023-07-19 21:38:26',5000
417,507,'2022-06-24 16:29:40',35000
418,552,'2021-12-09 07:17:29',75000
419,512,'2020-06-26 07:40:57',95000
420,429,'2023-07-29 05:46:35',105000
421,1000,'2022-12-17 05:51:45',45000
422,124,'2021-06-23 13:31:15',55000
423,59,'2022-02-21 02:24:02',85000
424,167,'2022-11-05 20:44:20',25000
425,404,'2022-10-16 15:12:21',85000
426,613,'2023-05-10 15:37:38',85000
427,781,'2020-04-21 23:12:04',105000
428,216,'2022-11-26 07:16:30',45000
429,797,'2020-08-10 01:02:28',35000
430,526,'2023-12-13 16:27:25',55000
431,717,'2020-12-24 23:24:58',85000
432,402,'2022-10-26 19:18:36',5000
433,892,'2021-01-06 15:34:05',5000
434,798,'2023-10-09 03:03:57',35000
435,708,'2022-01-21 02:44:57',45000
436,45,'2021-06-14 20:58:21',105000
437,264,'2020-03-18 19:51:39',75000
438,573,'2023-06-21 11:07:40',95000
439,763,'2021-06-17 05:11:05',105000
440,936,'2021-09-12 23:04:04',115000
441,880,'2020-06-06 23:55:23',115000
442,922,'2023-08-23 20:51:04',115000
443,295,'2022-03-17 06:27:07',35000
444,516,'2021-01-10 02:39:05',95000
445,671,'2021-08-09 01:27:01',95000
446,464,'2023-07-11 14:40:56',15000
447,580,'2020-03-22 10:53:41',55000
448,871,'2020-05-17 06:05:08',5000
449,980,'2020-06-22 00:28:28',105000
450,116,'2023-03-02 00:05:39',65000
451,690,'2022-05-11 19:35:22',75000
452,888,'2021-05-21 12:35:42',25000
453,820,'2021-10-30 17:23:55',35000
454,124,'2020-07-10 14:10:41',15000
455,34,'2022-02-10 15:14:46',105000
456,735,'2022-02-06 05:23:41',5000
457,913,'2023-08-21 13:30:42',35000
458,378,'2022-08-20 14:41:22',15000
459,677,'2020-02-09 11:29:26',55000
460,677,'2023-09-02 09:31:16',115000
461,204,'2021-01-17 10:05:22',105000
462,192,'2020-05-17 21:25:46',105000
463,391,'2023-03-01 22:03:02',35000
464,820,'2020-10-13 02:32:03',115000
465,631,'2023-01-06 05:49:20',45000
466,60,'2023-04-15 09:27:24',35000
467,814,'2022-04-06 14:43:48',35000
468,966,'2023-11-02 03:36:37',5000
469,5,'2020-08-02 18:14:38',45000
470,614,'2020-10-18 13:12:44',35000
471,441,'2020-11-03 11:10:52',45000
472,691,'2020-03-24 08:27:22',45000
473,926,'2023-05-15 12:59:11',15000
474,236,'2022-04-20 15:37:01',25000
475,957,'2022-04-10 18:14:06',85000
476,295,'2020-10-09 04:48:07',65000
477,109,'2022-10-31 21:21:02',85000
478,393,'2022-05-17 13:42:14',75000
479,482,'2023-07-12 14:57:39',105000
480,168,'2020-08-28 15:18:36',25000
481,705,'2020-08-30 01:28:37',105000
482,771,'2022-10-18 07:41:45',45000
483,567,'2021-11-23 10:36:07',45000
484,329,'2022-04-06 03:50:22',55000
485,280,'2021-02-08 10:44:42',115000
486,648,'2020-07-09 06:06:58',85000
487,464,'2023-07-05 21:00:00',55000
488,149,'2022-11-27 20:21:59',25000
489,326,'2020-08-10 16:52:40',95000
490,192,'2021-02-21 00:38:24',95000
491,470,'2023-11-04 04:19:10',65000
492,56,'2023-10-29 04:13:51',105000
493,717,'2021-04-13 17:29:03',55000
494,67,'2021-07-01 20:32:29',25000
495,988,'2022-02-25 08:38:34',45000
496,929,'2020-09-24 23:49:03',35000
497,273,'2022-01-31 19:40:19',65000
498,471,'2023-09-01 11:38:11',25000
499,259,'2022-07-06 10:02:20',65000
500,721,'2020-01-20 21:08:56',85000
501,849,'2020-08-01 13:41:30',15000
502,450,'2020-02-15 04:32:01',115000
503,558,'2022-01-13 01:17:23',95000
504,576,'2022-08-28 08:11:09',5000
505,586,'2023-07-26 10:26:46',65000
506,892,'2021-02-19 23:34:42',15000
507,737,'2022-08-13 03:00:15',15000
508,410,'2020-08-09 03:24:22',45000
509,376,'2023-01-04 17:32:34',115000
510,972,'2022-02-20 09:49:00',45000
511,557,'2023-12-18 12:49:31',35000
512,202,'2023-02-10 04:09:12',75000
513,166,'2021-05-29 13:03:02',5000
514,199,'2021-12-09 07:04:28',105000
515,834,'2021-04-07 09:31:45',25000
516,584,'2022-09-26 18:28:24',85000
517,802,'2020-03-09 08:31:49',25000
518,250,'2020-04-23 18:30:02',115000
519,568,'2022-06-11 01:02:03',5000
520,26,'2023-06-15 19:46:55',5000
521,680,'2023-04-19 10:54:52',45000
522,523,'2023-05-28 02:10:05',115000
523,148,'2023-08-08 14:45:39',5000
524,139,'2021-05-18 11:17:20',75000
525,850,'2023-05-09 20:46:02',5000
526,828,'2021-02-01 07:12:23',25000
527,451,'2020-04-06 14:46:48',5000
528,376,'2020-02-29 20:12:23',45000
529,397,'2020-06-30 15:02:36',15000
530,557,'2020-08-25 07:11:17',45000
531,900,'2020-07-02 14:09:04',35000
532,260,'2022-12-14 19:52:27',75000
533,256,'2020-09-03 15:22:06',45000
534,266,'2023-04-17 22:12:32',25000
535,518,'2020-10-16 05:42:03',75000
536,219,'2020-08-28 18:38:48',45000
537,866,'2021-08-01 22:38:43',85000
538,677,'2020-01-08 23:37:32',115000
539,445,'2022-10-23 00:34:57',5000
540,394,'2023-07-20 06:45:13',95000
541,564,'2023-10-08 10:13:17',95000
542,43,'2023-01-06 18:04:45',65000
543,992,'2023-04-27 22:44:22',75000
544,700,'2023-09-17 15:17:37',25000
545,416,'2021-02-07 10:58:14',15000
546,552,'2021-07-12 07:11:19',85000
547,760,'2022-10-09 11:30:36',85000
548,39,'2022-03-24 08:47:08',85000
549,772,'2020-04-27 00:58:47',45000
550,621,'2020-07-05 03:49:21',25000
551,992,'2020-07-14 08:34:37',115000
552,116,'2021-04-20 14:56:39',55000
553,226,'2020-06-06 23:00:13',85000
554,816,'2023-11-26 18:19:57',45000
555,206,'2021-04-13 11:48:25',35000
556,130,'2020-11-07 06:38:51',35000
557,565,'2021-12-04 11:18:08',85000
558,942,'2021-09-28 01:58:57',55000
559,63,'2021-04-06 00:02:35',45000
560,836,'2021-03-22 09:10:19',25000
561,669,'2020-03-05 02:23:27',25000
562,722,'2020-04-13 14:06:11',115000
563,689,'2022-07-24 09:42:33',85000
564,568,'2022-10-23 06:58:48',45000
565,830,'2021-02-19 17:12:53',25000
566,834,'2023-06-16 14:05:31',35000
567,640,'2022-05-12 07:48:36',95000
568,508,'2022-01-15 18:59:29',85000
569,983,'2020-08-28 03:32:18',65000
570,781,'2020-12-01 21:54:08',45000
571,707,'2020-09-02 22:27:35',105000
572,244,'2021-03-28 18:20:26',45000
573,114,'2021-12-13 18:23:17',75000
574,909,'2021-07-10 14:02:47',25000
575,856,'2020-02-01 01:08:54',105000
576,772,'2021-07-25 11:28:31',35000
577,927,'2023-03-11 06:20:37',115000
578,412,'2022-01-18 11:52:03',55000
579,80,'2022-02-25 09:31:55',25000
580,261,'2022-04-24 16:53:10',45000
581,945,'2022-09-18 19:22:49',105000
582,791,'2021-03-08 00:37:34',55000
583,221,'2022-12-23 18:02:58',75000
584,235,'2020-02-01 20:35:27',75000
585,426,'2021-12-12 06:40:32',45000
586,817,'2021-06-18 18:20:13',35000
587,516,'2021-01-03 23:24:57',115000
588,524,'2020-07-30 03:06:05',75000
589,386,'2020-11-09 09:12:56',35000
590,948,'2023-09-16 00:13:05',25000
591,432,'2021-09-29 19:37:45',85000
592,562,'2023-11-16 21:35:11',85000
593,60,'2021-06-14 04:40:53',65000
594,609,'2020-04-05 15:39:57',25000
595,694,'2020-03-16 21:12:35',85000
596,142,'2021-09-12 19:01:16',65000
597,119,'2022-10-31 03:22:45',65000
598,866,'2021-06-12 12:08:24',35000
599,10,'2022-01-02 23:40:40',5000
600,306,'2023-01-12 04:31:37',65000
601,265,'2023-07-18 02:22:58',45000
602,57,'2022-03-10 06:41:33',15000
603,539,'2023-05-23 20:18:51',85000
604,556,'2023-05-20 18:40:48',15000
605,789,'2023-12-31 21:30:21',115000
606,343,'2023-06-18 16:36:53',105000
607,734,'2023-11-22 19:37:55',85000
608,548,'2020-04-09 09:10:20',25000
609,269,'2020-06-12 17:16:21',25000
610,581,'2023-02-13 15:08:19',85000
611,153,'2023-12-07 09:32:44',85000
612,761,'2023-06-16 23:13:14',45000
613,725,'2020-11-16 08:41:35',5000
614,10,'2020-07-27 01:24:50',75000
615,256,'2020-10-18 17:52:30',85000
616,134,'2020-02-16 07:46:46',75000
617,814,'2020-08-01 16:11:39',85000
618,198,'2021-04-04 12:49:09',95000
619,141,'2021-02-02 00:48:52',85000
620,429,'2022-08-20 11:26:08',95000
621,644,'2021-08-06 20:58:18',75000
622,235,'2020-01-12 19:23:03',5000
623,953,'2021-08-19 00:58:02',55000
624,918,'2020-01-16 01:59:17',45000
625,993,'2020-01-22 03:22:17',35000
626,419,'2020-09-13 02:02:37',105000
627,881,'2022-09-11 06:18:50',45000
628,181,'2020-06-23 15:57:54',115000
629,984,'2023-07-21 15:12:50',95000
630,819,'2020-06-10 08:46:35',5000
631,853,'2023-09-13 04:39:24',85000
632,304,'2021-05-30 00:21:01',75000
633,786,'2022-10-25 08:39:23',115000
634,518,'2022-10-16 04:08:03',115000
635,473,'2020-11-02 16:40:48',115000
636,413,'2020-01-20 14:27:13',75000
637,262,'2020-10-09 10:56:26',35000
638,706,'2022-07-26 16:18:48',5000
639,606,'2020-10-08 03:11:59',15000
640,907,'2021-02-27 16:10:21',55000
641,599,'2022-11-30 02:27:44',55000
642,667,'2020-11-25 04:01:16',55000
643,840,'2023-11-03 20:43:30',95000
644,187,'2023-09-19 20:25:29',45000
645,145,'2020-03-20 13:15:42',5000
646,535,'2021-12-25 06:23:31',35000
647,180,'2021-02-18 02:46:33',115000
648,763,'2022-05-25 07:44:33',55000
649,432,'2022-09-09 23:30:15',5000
650,392,'2020-04-17 04:35:30',25000
651,966,'2022-04-22 00:34:27',45000
652,659,'2023-11-21 13:02:20',75000
653,163,'2022-10-11 21:41:14',15000
654,292,'2020-02-01 22:55:21',15000
655,921,'2022-04-24 13:49:27',5000
656,107,'2020-03-29 23:58:24',5000
657,203,'2022-01-25 13:16:03',115000
658,119,'2020-01-11 16:33:00',35000
659,648,'2022-11-23 02:34:56',115000
660,654,'2021-04-02 02:35:27',25000
661,452,'2022-04-14 07:58:02',95000
662,105,'2021-03-19 10:10:24',15000
663,861,'2023-12-07 02:48:40',75000
664,683,'2022-01-11 02:57:19',45000
