product_id,product_name,price
P-149,UD Widodo Tbk,8081
P-150,PT Winarno Usamah Tbk,6873
P-151,PD Pudjiastuti Nasyidah (Persero) Tbk,2805
P-152,CV Saefullah (Persero) Tbk,49
P-153,UD Namaga Tbk,1329
P-154,Perum Mangunsong Waskita,1040
P-155,Perum Maulana,7953
P-156,PD Thamrin Januar (Persero) Tbk,6429
P-157,PT Suryono Hardiansyah Tbk,6088
P-158,PD Kusmawati (Persero) Tbk,523
P-159,CV Purwanti Purwanti,3864
P-160,PT Yolanda,9975
P-161,CV Tarihoran (Persero) Tbk,9172
P-162,CV Nuraini,5264
P-163,UD Hassanah Lailasari,7296
P-164,PT Suryono Pangestu Tbk,3752
P-165,PT Wibowo,4612
P-166,UD Wibowo,776
P-167,Perum Hastuti Kusumo,3212
P-168,PD Nugroho Tbk,7627
P-169,CV Sitompul Hutasoit (Persero) Tbk,3047
P-170,PD Siregar,4933
P-171,PT Winarsih Prabowo Tbk,472
P-172,CV Yuniar,6338
P-173,UD Nainggolan Tbk,9533
P-174,PD Prasetya,1225
P-175,Perum Winarno Ramadan,6152
P-176,Perum Zulkarnain Maulana,8083
P-177,PD Halimah,9680
P-178,Perum Usamah Mansur Tbk,549
P-179,UD Suwarno Hartati Tbk,8579
P-180,UD Wahyudin Widodo Tbk,8987
P-181,PT Saptono Ardianto,4592
P-182,PT Pratama (Persero) Tbk,9105
P-183,PD Hardiansyah,708
P-184,CV Waskita Wahyuni,2273
P-185,UD Dongoran Anggriawan,3879
P-186,Perum Mandasari Mayasari (Persero) Tbk,9027
P-187,CV Hidayanto Wijaya,2353
P-188,UD Yuniar Suryono Tbk,1998
P-189,PD Mulyani Tbk,5641
P-190,UD Halim,6374
P-191,UD Namaga,8139
P-192,PD Wulandari,5034
P-193,Perum Permata Sihombing,8443
P-194,CV Waluyo,9602
P-195,PD Kurniawan,9959
P-196,UD Widiastuti,6496
P-197,PD Winarno,9727
P-198,CV Rahimah Simanjuntak,7896
P-199,CV Zulaika Tampubolon,1235
P-200,UD Wahyuni,4917
P-201,Perum Mardhiyah (Persero) Tbk,7686
P-202,PT Sinaga (Persero) Tbk,1395
P-203,PD Situmorang Wahyuni (Persero) Tbk,3156
P-204,UD Riyanti Sinaga,990
P-205,UD Puspita Permata (Persero) Tbk,1055
P-206,PD Megantara Tbk,8691
P-207,CV Ardianto Tbk,2732
P-208,CV Pradana,5531
P-209,CV Santoso Tbk,917
P-210,PT Astuti,7657
P-211,UD Yuniar Tbk,5280
P-212,PD Saefullah Wibowo,7178
P-213,PT Mardhiyah (Persero) Tbk,2611
P-214,Perum Hidayat,5358
P-215,PD Saragih Latupono,9409
P-216,CV Napitupulu,4649
P-217,Perum Laksita Tbk,9337
P-218,CV Widodo Pratama Tbk,3218
P-219,Perum Firgantoro Utama Tbk,863
P-220,UD Prastuti,1234
P-221,PD Sihotang Pertiwi,4177
P-222,PD Salahudin,2928
P-223,PT Rahayu,157
P-224,Perum Sudiati,9796
P-225,PD Wijaya Tbk,1125
P-226,CV Halim Tbk,4627
P-227,PT Puspasari,5132
P-228,CV Mayasari Halim (Persero) Tbk,6165
P-229,CV Waluyo Riyanti (Persero) Tbk,5150
P-230,Perum Sudiati Permadi,7420
P-231,PT Yolanda Wastuti (Persero) Tbk,6439
P-232,PD Hutagalung Megantara Tbk,9804
P-233,CV Firmansyah Pratiwi,8597
P-234,CV Padmasari (Persero) Tbk,9926
P-235,CV Hasanah Tbk,2591
P-236,PT Namaga Kusmawati,628
P-237,UD Novitasari Tbk,7596
P-238,PD Uwais Damanik,7633
P-239,PD Sinaga Pratiwi,4509
P-240,Perum Hassanah Tbk,9736
P-241,Perum Hutasoit,9346
P-242,CV Laksita Anggriawan,9644
P-243,PT Kurniawan Ardianto,7735
P-244,UD Pranowo,955
P-245,CV Suwarno,8296
P-246,Perum Nashiruddin,3238
P-247,PT Firgantoro,3551
P-248,CV Maryati Pratama,3174
P-249,CV Kusumo Tbk,5904
P-250,UD Siregar,1159
P-251,UD Halimah Tbk,2769
P-252,Perum Namaga Tbk,1949
P-253,CV Latupono Mansur Tbk,3016
P-254,PD Safitri Pudjiastuti,3878
P-255,CV Pudjiastuti,2679
P-256,PD Irawan,6560
P-257,PT Astuti Wahyudin,3597
P-258,Perum Kurniawan,3326
P-259,PD Natsir Natsir,3944
P-260,Perum Samosir (Persero) Tbk,9767
P-261,CV Marpaung,1702
P-262,Perum Puspita,8148
P-263,PT Budiman Mandasari Tbk,5510
P-264,PT Utama,7922
P-265,Perum Utami Rajata Tbk,8131
P-266,Perum Farida Widiastuti,1493
P-267,PT Rahayu Tampubolon,9425
P-268,PD Nainggolan Yolanda Tbk,4374
P-269,PT Prasetya,4448
P-270,UD Purwanti Prayoga,7886
P-271,PD Novitasari,1690
P-272,CV Budiman Gunawan,5582
P-273,CV Yuniar Lazuardi,6570
P-274,CV Waluyo Nurdiyanti Tbk,5515
P-275,PT Purnawati Yuliarti (Persero) Tbk,4692
P-276,PD Salahudin,1312
P-277,PD Prastuti Saragih (Persero) Tbk,2268
P-278,PD Hariyah Nurdiyanti Tbk,3871
P-279,CV Sihotang Firgantoro,7067
P-280,PD Prakasa Jailani,6482
P-281,PT Novitasari Susanti,5496
P-282,UD Hardiansyah Hidayat Tbk,2509
P-283,PT Anggraini (Persero) Tbk,1937
P-284,Perum Lailasari Usada Tbk,179
P-285,CV Suryono Tbk,2345
P-286,CV Zulaika Hutapea Tbk,2133
P-287,UD Gunawan Tbk,7129
P-288,Perum Sirait,5554
P-289,PD Simanjuntak Permata,2282
P-290,UD Latupono,2050
P-291,PD Setiawan Pradipta Tbk,3027
P-292,Perum Mandala Andriani Tbk,4717
P-293,Perum Nainggolan Iswahyudi Tbk,7403
P-294,UD Wahyuni Putra Tbk,4391
P-295,UD Halim Tbk,5121
P-296,CV Pranowo Tbk,5790
P-297,PD Uwais (Persero) Tbk,333
P-298,Perum Hasanah Tbk,4320
P-299,Perum Hastuti Suwarno (Persero) Tbk,7080
P-300,UD Pertiwi,9730
P-301,Perum Astuti Purnawati Tbk,5983
P-302,UD Irawan Damanik (Persero) Tbk,7428
P-303,CV Hassanah,1986
P-304,UD Putra Hardiansyah Tbk,1275
P-305,CV Sirait Hassanah,6366
P-306,PT Pangestu Santoso (Persero) Tbk,3292
P-307,UD Laksita Tbk,2065
P-308,Perum Halim Mangunsong Tbk,9345
P-309,CV Widodo Anggriawan (Persero) Tbk,9550
P-310,PD Januar Manullang Tbk,2237
P-311,PD Hastuti Tbk,891
P-312,CV Halim Prabowo Tbk,9750
P-313,UD Yolanda Usamah Tbk,9477
P-314,CV Permadi (Persero) Tbk,753
P-315,PD Namaga Halimah,5536
P-316,PT Farida (Persero) Tbk,1277
P-317,PT Prastuti Winarno,1384
P-318,Perum Wibisono Rajasa,4475
P-319,UD Widodo,1087
P-320,PD Hartati,715
P-321,UD Pranowo,2754
P-322,Perum Halimah Hardiansyah (Persero) Tbk,8034
P-323,Perum Astuti Iswahyudi (Persero) Tbk,5735
P-324,UD Tamba Tbk,9137
P-325,UD Wastuti Tamba,7745
P-326,CV Nasyiah Farida,2979
P-327,CV Mansur,715
P-328,CV Wasita,6810
P-329,CV Tarihoran Pradipta,8909
P-330,Perum Narpati Firmansyah (Persero) Tbk,5543
P-331,Perum Mandala Oktaviani,1020
P-332,UD Kusmawati Waskita,7102
P-333,Perum Handayani Oktaviani (Persero) Tbk,3324
P-334,Perum Puspasari,9450
P-335,PT Najmudin Tbk,3982
P-336,Perum Purnawati Pranowo (Persero) Tbk,6914
P-337,UD Pradana Tbk,1859
P-338,UD Usada Rajata,2565
P-339,Perum Padmasari Hidayanto (Persero) Tbk,5816
P-340,CV Uwais,3877
P-341,UD Susanti,6289
P-342,Perum Prasetya Hassanah,7054
P-343,Perum Thamrin Firgantoro (Persero) Tbk,2234
P-344,Perum Winarno (Persero) Tbk,1476
P-345,UD Handayani,3507
P-346,Perum Pradipta Wijayanti (Persero) Tbk,4805
P-347,Perum Hutapea Halim Tbk,9129
P-348,CV Nashiruddin Tbk,9686
P-349,PT Uwais Kuswandari,3624
P-350,PD Hassanah Tbk,24
P-351,CV Prastuti Tbk,1969
P-352,Perum Nasyidah,5166
P-353,UD Yuliarti Megantara Tbk,8418
P-354,PT Safitri Tbk,7681
P-355,PT Laksmiwati Wastuti,8245
P-356,UD Utami Tbk,5379
P-357,PD Melani Sihombing,269
P-358,UD Wacana Handayani,8525
P-359,CV Kurniawan Hardiansyah (Persero) Tbk,963
P-360,CV Halim Kusumo,4561
P-361,PT Pradana,1784
P-362,PT Uyainah Napitupulu,8930
P-363,PD Haryanti Namaga,1762
P-364,CV Nugroho Hutapea,5728
P-365,PT Maryadi,9672
P-366,PD Hidayat,9623
P-367,Perum Lazuardi Tbk,2151
P-368,CV Marbun,4039
P-369,UD Sitompul Safitri Tbk,4648
P-370,PD Tamba,9599
P-371,Perum Habibi Sihotang (Persero) Tbk,1921
P-372,PT Wijayanti Tbk,1810
P-373,PD Laksita,1587
P-374,UD Rajata Hasanah Tbk,2958
P-375,UD Dongoran Tbk,8341
P-376,PT Hidayanto Melani,6789
P-377,Perum Mandasari Lailasari Tbk,5656
P-378,PT Mansur Zulkarnain,8809
P-379,UD Nasyiah,9906
P-380,PT Maheswara (Persero) Tbk,8594
P-381,CV Purwanti Riyanti,452
P-382,PT Widodo,7406
P-383,UD Lestari Hutagalung,3720
P-384,PT Hutapea (Persero) Tbk,4567
P-385,PD Firmansyah Puspasari,9838
P-386,CV Sirait Pratama (Persero) Tbk,675
P-387,UD Anggraini Megantara,928
P-388,CV Halim Nainggolan,3842
P-389,PT Purwanti,5899
P-390,Perum Firgantoro Anggraini Tbk,1634
P-391,CV Hutagalung Mustofa,4106
P-392,PT Melani,3344
P-393,PT Nugroho,5445
P-394,Perum Puspita (Persero) Tbk,2405
P-395,Perum Rahimah Tbk,7070
P-396,PT Permata Pratama Tbk,464
P-397,CV Budiman Budiyanto Tbk,3014
P-398,UD Kuswoyo Prasetyo,6070
P-399,PT Wijayanti Hariyah,9794
P-400,CV Yulianti Setiawan,9766
P-401,PD Halim Hutagalung (Persero) Tbk,8881
P-402,UD Hardiansyah Saptono,93
P-403,CV Hidayat (Persero) Tbk,5663
P-404,PT Utami (Persero) Tbk,3519
P-405,CV Widodo Tbk,1292
P-406,PD Wacana,1980
P-407,CV Pradipta Tbk,5305
P-408,CV Prasetyo Marpaung Tbk,3057
P-409,CV Winarsih Safitri,9663
P-410,UD Saragih,5436
P-411,CV Hutagalung,2287
P-412,UD Melani Ardianto Tbk,7076
P-413,CV Marbun Tbk,298
P-414,PD Laksita Tbk,1451
P-415,PT Kurniawan Laksita,1030
P-416,PD Budiyanto (Persero) Tbk,9550
P-417,PD Puspasari Tbk,9077
P-418,PD Safitri Budiman Tbk,7856
P-419,Perum Sihombing Usamah,4985
P-420,UD Mustofa Tbk,8572
P-421,Perum Utami Hartati Tbk,994
P-422,Perum Mahendra (Persero) Tbk,4535
P-423,Perum Sitorus Puspasari,3101
P-424,UD Mansur Hassanah,9507
P-425,UD Mansur Siregar Tbk,2606
P-426,PT Suartini,7141
P-427,PD Prasasta Rahimah,9950
P-428,UD Kusmawati Waluyo,1857
P-429,PT Nainggolan,869
P-430,PD Purwanti Suartini (Persero) Tbk,2961
P-431,Perum Prayoga,8132
P-432,Perum Prasetyo Safitri Tbk,8747
P-433,CV Haryanto,3703
P-434,PT Suwarno Tampubolon (Persero) Tbk,7981
P-435,Perum Simbolon Tbk,2076
P-436,CV Mansur Permadi Tbk,9983
P-437,CV Halim Permata Tbk,7004
P-438,Perum Halim Sitompul Tbk,5980
P-439,Perum Winarsih,36
P-440,PD Winarsih,9389
P-441,PD Nababan,714
P-442,UD Astuti Tbk,4468
P-443,Perum Permadi Salahudin (Persero) Tbk,7011
P-444,CV Ramadan Tbk,1877
P-445,PD Irawan (Persero) Tbk,9766
P-446,CV Pradana (Persero) Tbk,1627
P-447,UD Astuti Tbk,9578
P-448,CV Budiman Sitompul,3607
P-449,PD Rahimah,4093
P-450,PT Kurniawan Wulandari,5698
P-451,UD Yuliarti (Persero) Tbk,1630
P-452,CV Riyanti,3338
P-453,UD Wijayanti Utama,5376
P-454,PD Pratama Santoso (Persero) Tbk,5184
P-455,PT Agustina Winarno,650
P-456,UD Pertiwi,8703
P-457,PT Sitompul Tbk,1180
P-458,CV Yolanda Zulkarnain,2862
P-459,PT Permata (Persero) Tbk,2972
P-460,Perum Hakim (Persero) Tbk,7732
P-461,PD Suwarno Tbk,884
P-462,Perum Widiastuti Puspita,8577
P-463,PT Situmorang,8650
P-464,Perum Lestari Megantara,2458
P-465,UD Nashiruddin Sihotang,5035
P-466,Perum Widiastuti,3390
P-467,PD Prastuti,6303
P-468,PT Haryanto Tbk,2255
P-469,PT Wastuti (Persero) Tbk,88
P-470,CV Hidayanto Sihotang,366
P-471,PD Sirait Uwais,3448
P-472,PD Riyanti,2039
P-473,UD Tampubolon Tamba,6675
P-474,CV Najmudin,6419
P-475,UD Yulianti Tbk,2924
P-476,PT Sinaga Haryanto (Persero) Tbk,570
P-477,UD Simanjuntak Tbk,2046
P-478,PD Hutapea Tbk,4428
P-479,PD Prasetya Widodo,5590
P-480,Perum Simbolon,1798
P-481,Perum Palastri Tbk,1216
P-482,Perum Budiman (Persero) Tbk,4861
P-483,CV Hariyah Budiyanto,6634
P-484,Perum Mangunsong,4992
P-485,PT Nababan Lazuardi (Persero) Tbk,9155
P-486,Perum Kusumo (Persero) Tbk,3759
P-487,Perum Permadi,7046
P-488,PT Maryati Permata Tbk,2081
P-489,PT Dabukke Prastuti,4649
P-490,Perum Halimah Hastuti (Persero) Tbk,2012
P-491,PT Pratiwi (Persero) Tbk,6020
P-492,CV Namaga Anggriawan (Persero) Tbk,2006
P-493,PD Hasanah Susanti,6046
P-494,UD Firgantoro Lazuardi Tbk,7392
P-495,CV Suryatmi (Persero) Tbk,2119
P-496,Perum Maryati,6932
P-497,CV Damanik Farida,6084
P-498,CV Wulandari Tbk,4729
P-499,Perum Pradipta Tbk,7356
P-500,PT Nuraini,5261
P-501,CV Hutagalung,8712
P-502,PD Wibisono Uyainah (Persero) Tbk,4678
P-503,Perum Prastuti,8544
P-504,PD Maheswara Yuliarti,4557
P-505,UD Hutagalung,9293
P-506,Perum Wijayanti Adriansyah Tbk,8221
P-507,CV Habibi Maheswara,543
P-508,PD Sinaga (Persero) Tbk,9427
P-509,Perum Gunawan Kurniawan,3748
P-510,UD Firgantoro Kurniawan Tbk,4921
P-511,PT Mansur,8055
P-512,PD Prayoga,1490
P-513,CV Habibi,3203
P-514,CV Sitorus Wahyudin,4782
P-515,CV Melani (Persero) Tbk,9848
P-516,CV Rahmawati Sinaga (Persero) Tbk,5346
P-517,CV Nashiruddin Mahendra,4975
P-518,CV Rajasa Tbk,4094
P-519,PT Narpati Simanjuntak,3965
P-520,UD Hutasoit Januar (Persero) Tbk,8108
P-521,Perum Pradipta Widiastuti Tbk,9321
P-522,Perum Tarihoran Pudjiastuti Tbk,5533
P-523,PT Pudjiastuti,4019
P-524,CV Wibisono Manullang Tbk,1770
P-525,PT Laksita Uyainah,5117
P-526,Perum Hidayanto (Persero) Tbk,3890
P-527,Perum Uwais Hidayat Tbk,1086
P-528,PD Suwarno,6780
P-529,PT Wasita,983
P-530,PT Sitorus,242
P-531,PT Januar,1702
P-532,UD Hidayanto Usada,895
P-533,PD Widodo,7492
P-534,Perum Yolanda Dongoran,4579
P-535,CV Mustofa (Persero) Tbk,4951
P-536,UD Tampubolon Hidayat,7166
P-537,PT Dongoran Puspasari,3596
P-538,Perum Halimah Iswahyudi,3573
P-539,PD Wulandari,2017
P-540,PD Uwais Mansur (Persero) Tbk,9794
P-541,PT Halimah Anggraini,5478
P-542,PD Hidayat Laksmiwati,429
P-543,UD Mandasari,6104
P-544,PT Padmasari,1009
P-545,CV Wulandari Tbk,2953
P-546,CV Sirait Saragih,1830
P-547,CV Samosir Tbk,4032
P-548,CV Suwarno Rahayu,7869
P-549,Perum Natsir Saragih Tbk,9960
P-550,Perum Fujiati,5625
P-551,CV Prayoga (Persero) Tbk,3175
P-552,Perum Prasetyo (Persero) Tbk,7898
P-553,UD Mustofa (Persero) Tbk,8274
P-554,CV Firmansyah Tbk,4730
P-555,CV Jailani Namaga,5520
P-556,PT Megantara Yuniar,155
P-557,UD Thamrin Tbk,5447
P-558,PT Suryatmi Suryono,5366
P-559,PT Widodo Nuraini (Persero) Tbk,1335
P-560,PT Sitorus,4519
P-561,CV Tarihoran Widodo,1370
P-562,PD Maulana Wasita,9560
P-563,Perum Latupono,6842
P-564,PT Hidayat Palastri,9703
P-565,Perum Yolanda (Persero) Tbk,3978
P-566,Perum Palastri Tbk,2538
P-567,UD Mayasari Rajasa,7504
P-568,PD Simanjuntak,5336
P-569,UD Ramadan Yulianti Tbk,1181
P-570,PT Simbolon,9886
P-571,CV Latupono Tbk,7574
P-572,UD Maheswara,2449
P-573,UD Prabowo Mahendra (Persero) Tbk,3685
P-574,PD Hastuti,7076
P-575,PD Pertiwi,7717
P-576,Perum Sihotang (Persero) Tbk,8044
P-577,PD Handayani Tbk,9822
P-578,PT Suryono,6343
P-579,Perum Mansur,7224
P-580,Perum Santoso (Persero) Tbk,3274
P-581,PT Jailani (Persero) Tbk,541
P-582,CV Tamba (Persero) Tbk,2272
P-583,CV Lazuardi Gunawan (Persero) Tbk,4830
P-584,Perum Utami,4384
P-585,UD Manullang Budiyanto (Persero) Tbk,3580
P-586,CV Pudjiastuti,4332
P-587,Perum Iswahyudi Nurdiyanti Tbk,5540
P-588,UD Latupono Marbun,4174
P-589,PD Prastuti Hidayanto,105
P-590,Perum Manullang Habibi Tbk,3079
P-591,UD Irawan,564
P-592,Perum Sinaga Tbk,9538
P-593,PD Suryono,2744
P-594,PT Winarno Rahimah,6040
P-595,CV Wasita Padmasari,4989
P-596,CV Siregar Hasanah,4540
P-597,CV Firmansyah Dongoran,9573
P-598,Perum Sirait Nurdiyanti (Persero) Tbk,3924
P-599,PD Uyainah Tbk,4327
P-600,PT Puspita (Persero) Tbk,4749
P-601,Perum Setiawan Nashiruddin (Persero) Tbk,8012
P-602,Perum Situmorang Jailani (Persero) Tbk,6156
P-603,PD Tamba,8912
P-604,PD Nuraini Simbolon (Persero) Tbk,9673
P-605,PD Sudiati Tbk,1594
P-606,CV Zulkarnain Wastuti,9142
P-607,CV Astuti Hidayat,1262
P-608,PD Prasetya Najmudin Tbk,8924
P-609,PD Andriani Pradipta,2160
P-610,Perum Nugroho (Persero) Tbk,1431
P-611,Perum Halimah Sihotang,8900
P-612,Perum Melani (Persero) Tbk,2372
P-613,CV Mangunsong,6316
P-614,UD Prakasa Maryadi (Persero) Tbk,7489
P-615,PD Usada Utama (Persero) Tbk,4983
P-616,PD Purnawati Astuti,2509
P-617,Perum Lailasari (Persero) Tbk,9400
P-618,UD Yuliarti,2816
P-619,Perum Yuliarti (Persero) Tbk,7259
P-620,CV Rahayu Namaga,1053
P-621,CV Waskita Firgantoro,3649
P-622,UD Pangestu,1629
P-623,PD Iswahyudi,8165
P-624,PT Laksmiwati,5333
P-625,CV Prasetyo (Persero) Tbk,6564
P-626,Perum Yuniar,5314
P-627,Perum Yulianti,3277
P-628,CV Hariyah Saputra (Persero) Tbk,18
P-629,PT Hassanah,635
P-630,UD Suwarno,178
P-631,PD Tamba Kusumo,8553
P-632,PT Manullang Tbk,3818
P-633,Perum Dabukke Usamah,8852
P-634,UD Habibi Maryadi,5248
P-635,PT Sirait Mulyani,3901
P-636,Perum Hastuti Tbk,6177
P-637,Perum Zulkarnain Pratiwi Tbk,8371
P-638,PD Hassanah Rajasa,8728
P-639,CV Nashiruddin Suryatmi Tbk,1061
P-640,PD Winarsih,787
P-641,CV Nasyiah Palastri,2926
P-642,PT Purnawati,4824
P-643,UD Puspita Laksita Tbk,1249
P-644,PT Yuniar,6692
P-645,PD Wijaya Firmansyah,880
P-646,PD Napitupulu,1126
P-647,CV Winarsih Utami,7072
P-648,Perum Hidayat Ramadan Tbk,950
P-649,Perum Utami Januar Tbk,5139
P-650,Perum Mansur,544
P-651,PD Firmansyah Mahendra,7748
P-652,Perum Pertiwi Pratiwi,2902
P-653,PT Megantara,7434
P-654,Perum Suwarno Kusmawati (Persero) Tbk,9794
P-655,PT Nurdiyanti Tbk,4245
P-656,Perum Mangunsong Uyainah,4157
P-657,CV Ramadan Mangunsong (Persero) Tbk,9235
P-658,UD Novitasari,1966
P-659,UD Tamba Ramadan (Persero) Tbk,7749
P-660,UD Maulana Marbun,2622
P-661,Perum Purwanti Hasanah Tbk,9292
P-662,UD Wulandari,6859
P-663,CV Thamrin Tbk,2470
P-664,UD Nasyiah Kurniawan Tbk,4969
P-665,UD Irawan Tbk,7693
P-666,PT Pudjiastuti Latupono,8075
P-667,UD Suartini,8176
P-668,Perum Mulyani,8172
P-669,PT Halimah Astuti,1460
P-670,Perum Wibowo Uwais,9962
P-671,CV Namaga,9213
P-672,CV Lazuardi Utama,9319
P-673,PD Damanik,2706
P-674,CV Aryani Firgantoro Tbk,4923
P-675,PD Mahendra (Persero) Tbk,2853
P-676,PT Setiawan Tbk,3255
P-677,PT Yolanda Tbk,2936
P-678,CV Mustofa Santoso,199
P-679,PT Utama Uyainah,141
P-680,PT Sinaga (Persero) Tbk,1873
P-681,UD Samosir Tbk,1317
P-682,PD Uwais,495
P-683,Perum Wastuti,2003
P-684,Perum Latupono,2006
P-685,UD Rahmawati,4365
P-686,PT Pradipta Latupono Tbk,1245
P-687,PD Andriani Tbk,4308
P-688,UD Pangestu,8750
