order_id,product_id,quantity
840,P-745,8
745,P-868,3
183,P-158,1
492,P-797,1
970,P-486,3
535,P-485,2
330,P-942,1
644,P-600,8
528,P-688,2
88,P-816,4
859,P-805,5
236,P-908,3
615,P-216,3
169,P-775,8
615,P-135,6
847,P-566,2
675,P-957,10
699,P-354,9
894,P-952,4
259,P-808,8
132,P-741,2
716,P-570,4
513,P-464,4
696,P-416,6
847,P-256,6
968,P-872,8
662,P-831,7
316,P-440,1
16,P-979,4
487,P-285,8
282,P-150,7
854,P-386,6
948,P-338,4
148,P-832,1
865,P-433,7
76,P-739,10
458,P-331,1
568,P-599,7
900,P-936,4
822,P-491,7
441,P-981,2
255,P-598,10
616,P-426,6
396,P-584,5
179,P-046,9
773,P-790,1
605,P-205,5
292,P-675,2
111,P-442,1
393,P-616,8
619,P-465,10
949,P-994,9
152,P-725,8
665,P-441,9
705,P-512,3
303,P-738,6
778,P-772,10
395,P-694,5
442,P-797,5
817,P-954,9
260,P-335,5
261,P-178,3
203,P-221,10
454,P-854,3
819,P-797,1
740,P-899,2
206,P-656,9
406,P-499,5
620,P-145,6
360,P-568,4
26,P-716,9
89,P-814,2
934,P-882,7
892,P-966,5
678,P-892,1
189,P-819,2
95,P-377,4
374,P-341,7
894,P-922,6
87,P-328,10
40,P-048,2
179,P-999,10
597,P-570,10
321,P-574,3
663,P-885,6
620,P-989,1
592,P-622,8
76,P-512,6
948,P-417,4
386,P-378,10
45,P-533,8
83,P-063,5
481,P-469,1
311,P-964,5
428,P-702,2
895,P-337,7
163,P-738,6
806,P-957,7
756,P-424,8
357,P-171,9
468,P-448,9
843,P-857,3
250,P-241,1
829,P-887,10
36,P-082,3
243,P-882,9
333,P-180,6
136,P-234,5
889,P-070,3
861,P-760,1
111,P-018,8
892,P-964,1
491,P-348,6
535,P-346,6
808,P-200,2
452,P-827,8
902,P-559,3
159,P-125,1
48,P-116,1
966,P-064,7
566,P-319,6
777,P-096,9
616,P-501,7
138,P-466,8
393,P-943,1
63,P-282,2
999,P-788,10
631,P-505,10
708,P-220,9
511,P-687,7
289,P-399,10
797,P-043,2
83,P-652,10
638,P-968,6
904,P-188,10
490,P-888,9
424,P-866,9
574,P-921,1
882,P-326,5
162,P-917,9
921,P-125,1
230,P-555,1
660,P-820,4
268,P-837,8
568,P-687,6
438,P-494,9
926,P-553,8
161,P-410,8
723,P-836,6
344,P-612,2
550,P-168,6
588,P-793,8
318,P-414,10
551,P-931,3
838,P-788,1
711,P-093,9
874,P-881,2
488,P-925,3
889,P-075,6
541,P-539,10
270,P-395,7
128,P-502,9
90,P-453,1
506,P-804,9
71,P-404,9
715,P-860,3
594,P-808,10
69,P-098,6
23,P-451,1
583,P-264,4
465,P-206,10
501,P-481,8
779,P-460,10
934,P-721,5
14,P-801,6
815,P-035,2
478,P-988,6
560,P-130,2
469,P-742,2
489,P-343,1
443,P-552,2
486,P-673,10
27,P-674,1
173,P-412,4
369,P-591,8
20,P-392,10
455,P-506,4
93,P-478,9
398,P-076,8
165,P-375,5
868,P-581,8
169,P-181,6
314,P-107,7
54,P-420,3
253,P-419,9
25,P-770,9
192,P-213,5
662,P-338,8
271,P-116,2
178,P-793,5
698,P-090,10
798,P-778,3
198,P-175,10
560,P-812,6
139,P-566,6
833,P-783,8
659,P-119,2
300,P-514,4
865,P-740,5
726,P-880,7
351,P-528,1
753,P-525,4
279,P-400,3
69,P-324,6
785,P-787,7
792,P-301,9
930,P-700,8
390,P-277,3
140,P-287,2
738,P-493,1
847,P-072,5
531,P-355,7
477,P-977,6
43,P-388,2
340,P-083,10
345,P-275,1
190,P-662,3
747,P-426,4
759,P-116,10
191,P-188,9
777,P-757,5
245,P-841,4
140,P-249,10
936,P-196,6
209,P-322,1
851,P-619,8
783,P-697,5
675,P-456,5
799,P-389,2
782,P-790,2
674,P-115,9
486,P-542,5
72,P-251,6
248,P-700,5
72,P-350,7
182,P-767,2
118,P-224,3
374,P-912,3
666,P-376,8
852,P-822,3
356,P-524,10
633,P-981,2
838,P-881,4
968,P-955,3
524,P-144,7
265,P-138,10
992,P-611,6
474,P-936,5
34,P-884,3
260,P-634,9
285,P-872,3
96,P-410,2
55,P-150,1
522,P-191,5
587,P-220,8
589,P-554,5
66,P-910,4
814,P-839,2
649,P-777,6
590,P-600,9
308,P-124,2
467,P-560,8
829,P-322,10
770,P-773,8
723,P-824,5
775,P-494,2
881,P-520,10
95,P-934,3
2,P-407,3
964,P-914,1
509,P-380,8
561,P-229,9
627,P-147,4
185,P-661,6
464,P-145,2
360,P-303,10
704,P-971,9
659,P-513,6
149,P-971,6
844,P-980,3
619,P-875,4
378,P-058,2
220,P-750,10
277,P-167,7
701,P-501,9
606,P-416,3
915,P-436,1
174,P-717,2
470,P-447,2
202,P-141,2
758,P-807,7
727,P-800,3
67,P-902,6
785,P-596,1
183,P-537,8
17,P-442,10
617,P-852,7
82,P-350,8
594,P-678,1
213,P-719,7
149,P-744,4
868,P-653,6
360,P-917,2
107,P-475,4
120,P-436,9
98,P-080,9
466,P-084,5
602,P-281,1
266,P-560,6
839,P-011,9
20,P-635,5
629,P-320,6
54,P-138,2
135,P-531,2
831,P-748,4
241,P-913,6
292,P-104,3
320,P-083,5
183,P-759,5
880,P-645,2
822,P-201,5
151,P-592,10
714,P-930,5
881,P-274,6
26,P-785,6
19,P-629,2
749,P-015,10
961,P-630,8
72,P-876,4
633,P-402,9
57,P-445,3
15,P-432,6
132,P-876,6
364,P-760,1
701,P-475,2
615,P-113,4
442,P-723,8
915,P-475,2
396,P-510,5
879,P-557,1
727,P-865,3
646,P-829,1
643,P-837,4
537,P-303,2
555,P-695,10
509,P-836,10
156,P-229,9
461,P-229,6
267,P-238,10
839,P-211,2
113,P-915,7
972,P-502,4
937,P-565,10
975,P-602,6
423,P-724,9
170,P-032,9
911,P-583,9
128,P-803,4
273,P-549,4
248,P-879,1
7,P-424,1
798,P-676,7
217,P-029,2
442,P-901,4
57,P-917,2
608,P-670,8
377,P-367,7
419,P-091,2
784,P-773,2
913,P-974,8
90,P-973,4
605,P-378,5
66,P-019,3
84,P-322,8
205,P-498,1
613,P-193,2
71,P-349,9
762,P-430,9
865,P-366,9
324,P-300,7
935,P-557,10
332,P-048,5
480,P-038,3
924,P-871,6
776,P-848,6
52,P-487,10
386,P-679,5
670,P-410,8
134,P-450,4
246,P-198,4
776,P-875,3
814,P-716,1
500,P-834,4
291,P-082,8
520,P-107,6
578,P-957,7
870,P-401,5
467,P-243,10
891,P-181,8
515,P-978,10
758,P-556,3
301,P-628,10
398,P-222,6
114,P-736,2
456,P-563,6
224,P-137,9
529,P-993,3
962,P-877,7
728,P-411,8
919,P-436,9
729,P-938,2
5,P-874,6
532,P-092,9
802,P-983,1
857,P-927,9
82,P-893,3
862,P-912,7
147,P-439,2
454,P-293,10
346,P-474,6
750,P-571,3
989,P-580,5
970,P-874,7
824,P-227,10
116,P-708,1
195,P-207,4
721,P-322,1
487,P-596,9
349,P-607,9
532,P-978,7
528,P-799,5
558,P-834,7
282,P-194,8
695,P-594,8
812,P-515,1
905,P-398,8
634,P-487,9
123,P-961,8
756,P-430,2
930,P-540,4
337,P-230,10
798,P-359,6
827,P-302,1
71,P-014,5
64,P-510,9
789,P-032,8
403,P-211,1
600,P-679,7
731,P-654,5
242,P-677,8
909,P-189,10
285,P-277,8
212,P-369,4
393,P-003,8
622,P-635,1
887,P-843,7
841,P-800,4
23,P-616,2
893,P-333,5
583,P-277,9
727,P-452,1
644,P-238,6
647,P-902,3
621,P-883,9
985,P-983,2
118,P-880,2
114,P-549,5
965,P-314,2
801,P-194,7
222,P-029,10
639,P-899,8
989,P-469,5
324,P-189,4
145,P-154,5
161,P-767,1
258,P-396,10
888,P-230,2
546,P-019,10
901,P-706,6
911,P-508,2
471,P-174,6
779,P-692,4
65,P-623,8
263,P-568,8
619,P-973,10
910,P-753,3
544,P-840,1
193,P-669,5
682,P-141,7
399,P-485,7
618,P-139,5
651,P-403,2
827,P-617,10
73,P-890,6
478,P-728,2
293,P-716,2
115,P-543,3
141,P-389,2
45,P-866,3
953,P-793,7
655,P-421,2
965,P-257,5
281,P-480,1
51,P-473,1
277,P-448,8
451,P-586,8
549,P-988,10
341,P-657,10
929,P-850,10
564,P-823,8
973,P-155,2
22,P-064,10
585,P-131,3
601,P-818,4
879,P-154,2
356,P-975,3
474,P-184,7
486,P-569,2
152,P-266,5
314,P-705,7
755,P-922,8
249,P-054,1
4,P-204,4
540,P-737,5
607,P-186,3
591,P-653,6
583,P-808,6
888,P-836,2
72,P-395,3
574,P-495,8
545,P-630,9
789,P-496,2
229,P-894,9
592,P-620,1
824,P-539,9
937,P-592,3
998,P-421,3
889,P-347,6
654,P-397,10
417,P-352,2
648,P-403,9
922,P-145,6
876,P-771,8
47,P-906,5
810,P-377,2
56,P-532,9
495,P-410,7
111,P-322,4
111,P-718,8
430,P-502,1
325,P-417,6
106,P-154,1
918,P-446,9
491,P-774,8
168,P-131,5
601,P-460,6
527,P-175,3
130,P-033,3
241,P-726,1
157,P-280,2
798,P-081,9
414,P-510,6
904,P-371,2
32,P-470,9
174,P-672,7
741,P-621,6
999,P-349,7
205,P-917,4
935,P-087,10
218,P-718,9
576,P-450,9
885,P-082,2
891,P-079,7
458,P-811,4
522,P-616,7
431,P-444,9
542,P-826,7
353,P-859,5
400,P-597,5
271,P-117,7
369,P-631,7
298,P-986,2
711,P-606,4
304,P-962,8
920,P-737,5
37,P-682,9
610,P-251,10
868,P-013,6
783,P-996,8
760,P-892,9
301,P-812,5
772,P-844,6
772,P-855,5
642,P-431,5
858,P-072,7
697,P-465,1
178,P-361,4
544,P-558,6
933,P-318,5
29,P-769,3
756,P-992,8
624,P-415,2
43,P-228,8
474,P-391,1
484,P-437,3
524,P-971,5
685,P-783,7
842,P-769,4
916,P-971,8
756,P-191,1
703,P-289,7
111,P-191,3
380,P-280,4
46,P-472,9
398,P-741,7
76,P-989,2
183,P-528,2
437,P-799,6
67,P-139,1
743,P-614,2
329,P-780,9
877,P-641,1
335,P-906,8
500,P-289,10
786,P-237,9
761,P-635,6
958,P-789,3
853,P-370,6
748,P-647,6
378,P-569,3
349,P-425,4
216,P-253,8
689,P-935,6
571,P-408,9
164,P-057,1
626,P-868,7
572,P-929,2
824,P-274,3
310,P-475,10
473,P-928,5
678,P-461,1
770,P-041,8
862,P-490,1
309,P-169,3
654,P-435,4
723,P-844,9
182,P-687,10
751,P-499,1
505,P-568,6
507,P-792,7
616,P-030,7
321,P-831,2
326,P-646,6
688,P-643,3
479,P-574,3
729,P-958,8
510,P-283,4
606,P-784,3
28,P-532,6
740,P-141,5
300,P-946,8
504,P-817,3
69,P-108,10
609,P-476,9
923,P-349,7
742,P-796,3
915,P-677,6
865,P-857,10
790,P-667,6
482,P-279,2
608,P-467,4
944,P-264,6
858,P-364,8
875,P-951,5
501,P-447,1
800,P-980,7
258,P-594,10
235,P-972,4
835,P-169,6
880,P-976,6
663,P-811,2
694,P-277,7
834,P-537,1
883,P-057,2
668,P-883,2
687,P-156,4
770,P-768,7
272,P-904,5
375,P-033,3
181,P-549,10
941,P-725,6
769,P-231,5
671,P-854,3
972,P-720,9
636,P-458,4
127,P-015,2
665,P-584,8
501,P-462,6
469,P-780,4
820,P-557,5
931,P-748,6
846,P-854,6
132,P-285,8
504,P-161,4
600,P-735,8
482,P-726,7
818,P-310,7
279,P-986,1
935,P-608,2
621,P-085,2
170,P-388,5
285,P-901,8
946,P-291,8
511,P-989,3
225,P-319,8
574,P-663,10
361,P-236,2
201,P-072,8
222,P-350,4
831,P-859,5
819,P-889,9
143,P-391,8
332,P-219,8
386,P-341,6
730,P-209,1
337,P-013,2
954,P-598,9
21,P-479,3
899,P-702,9
283,P-248,5
530,P-337,6
46,P-838,6
550,P-475,2
656,P-514,1
407,P-860,7
918,P-209,6
679,P-983,4
441,P-640,7
691,P-858,10
146,P-986,9
403,P-168,5
636,P-064,6
348,P-011,10
463,P-671,8
54,P-671,3
464,P-185,8
259,P-913,4
552,P-784,2
971,P-122,8
998,P-682,10
257,P-430,2
729,P-062,1
976,P-859,6
412,P-997,7
184,P-855,9
424,P-456,3
333,P-881,9
832,P-151,7
723,P-781,5
150,P-581,10
727,P-956,9
865,P-849,4
838,P-393,5
682,P-013,5
928,P-752,1
405,P-391,7
743,P-364,8
413,P-926,6
388,P-435,5
615,P-010,2
830,P-002,4
379,P-837,10
138,P-309,7
796,P-601,9
862,P-250,4
159,P-477,4
600,P-135,2
698,P-340,1
677,P-473,9
510,P-754,4
752,P-603,8
546,P-277,6
959,P-390,10
272,P-705,10
340,P-755,2
713,P-171,2
811,P-690,10
552,P-610,2
48,P-879,7
412,P-135,8
689,P-591,2
269,P-537,7
968,P-285,10
49,P-564,5
319,P-723,1
346,P-461,10
370,P-035,10
191,P-560,10
969,P-823,2
348,P-760,3
623,P-713,7
923,P-401,5
828,P-157,3
542,P-531,4
803,P-202,8
802,P-618,4
680,P-851,8
31,P-969,1
352,P-753,5
475,P-413,2
820,P-421,4
754,P-152,1
441,P-924,5
240,P-891,4
335,P-776,4
409,P-587,3
472,P-411,2
560,P-971,6
863,P-816,10
6,P-398,6
434,P-543,2
335,P-774,9
96,P-784,3
509,P-923,6
988,P-878,2
915,P-411,7
760,P-455,5
509,P-049,7
938,P-843,6
54,P-871,8
363,P-684,10
430,P-013,4
107,P-267,3
68,P-502,9
717,P-684,5
990,P-085,2
936,P-012,2
476,P-161,10
77,P-811,6
776,P-649,10
663,P-680,10
672,P-547,6
